|||Sütunlar||||||||
Satırlar|||Konya(Beyşehir)-1188|Konya(Bozkır)-1207|Konya(Derebucak)-1789|Konya(Ilgın)-1400|Konya(Karatay)-1814|Konya(Meram)-1827|Konya(Seydişehir)-1617|Konya(Çumra)-1262|
|||||||||||
|||||||||||
Örtüaltı Sebzeler|Ekilen Alan ve Cam Sera ve 01.13.34.00.01. (Domates (Sofralık)) - Dekar|2015||||||||52.0|
||2016||||||||52.0|
||2017||||||||52.0|
||2018||||||||40.0|
||2019||||||||40.0|
||2020||||||||41.0|
||2021||||||||41.0|
|Ekilen Alan ve Plastik Sera ve 01.11.61.00.01. (Fasulye, Taze) - Dekar|2015|||||||4.0||
||2016|||||||4.0||
||2017|||||||5.0||
||2018|||||||5.0||
||2019|||||||5.0||
||2020|||||||4.0||
||2021|||||||4.0||
|Ekilen Alan ve Plastik Sera ve 01.13.14.00.01. (Marul (Kıvırcık)) - Dekar|2020|||||7.0||||
|Ekilen Alan ve Plastik Sera ve 01.13.14.00.02. (Marul (Göbekli)) - Dekar|2015||||||10.0|6.0||
||2016||||||10.0|7.0||
||2017||||||5.0|7.0||
||2018||||||15.0|7.0||
||2019||||||200.0|6.0||
||2020||||||105.0|6.0||
||2021||||||95.0|6.0||
|Ekilen Alan ve Plastik Sera ve 01.13.19.00.04. (Maydanoz) - Dekar|2020|||||7.0||||
|Ekilen Alan ve Plastik Sera ve 01.13.32.00.01. (Hıyar (Sofralık)) - Dekar|2015|3.0||||6.0|30.0|12.0||
||2016|3.0||||6.0|35.0|15.0||
||2017|3.0||1.0||6.0|40.0|16.0||
||2018|4.0||1.0||6.0|30.0|15.0||
||2019|5.0||1.0||7.0|50.0|15.0||
||2020|13.0|2.0|1.0||14.0|62.0|21.0||
||2021|13.0|4.0|1.0|||65.0|21.0||
|Ekilen Alan ve Plastik Sera ve 01.13.34.00.01. (Domates (Sofralık)) - Dekar|2015|3.0||||2.0|20.0|12.0||
||2016|3.0||||2.0|30.0|16.0||
||2017|3.0||1.0||2.0|25.0|15.0||
||2018|6.0||1.0||2.0|30.0|16.0||
||2019|10.0||2.0||10.0|100.0|16.0||
||2020|13.0|2.0|3.0|||71.0|24.0||
||2021|13.0|5.0|2.0|10.0||70.0|24.0||
|Ekilen Alan ve Plastik Sera ve 01.13.39.00.07. (Pepino) - Dekar|2020||1.0|||||||
||2021||1.0|||||||
|Üretim Miktarı ve Cam Sera ve 01.13.34.00.01. (Domates (Sofralık)) - Ton|2015||||||||1547.0|
||2016||||||||1547.0|
||2017||||||||1547.0|
||2018||||||||1200.0|
||2019||||||||1200.0|
||2020||||||||492.0|
||2021||||||||492.0|
|Üretim Miktarı ve Plastik Sera ve 01.11.61.00.01. (Fasulye, Taze) - Ton|2015|||||||10.0||
||2016|||||||10.0||
||2017|||||||13.0||
||2018|||||||13.0||
||2019|||||||13.0||
||2020|||||||11.0||
||2021|||||||10.0||
|Üretim Miktarı ve Plastik Sera ve 01.13.14.00.01. (Marul (Kıvırcık)) - Ton|2020|||||49.0||||
|Üretim Miktarı ve Plastik Sera ve 01.13.14.00.02. (Marul (Göbekli)) - Ton|2015||||||30.0|15.0||
||2016||||||28.0|18.0||
||2017||||||15.0|18.0||
||2018||||||45.0|18.0||
||2019||||||600.0|15.0||
||2020||||||315.0|15.0||
||2021||||||295.0|14.0||
|Üretim Miktarı ve Plastik Sera ve 01.13.19.00.04. (Maydanoz) - Ton|2020|||||18.0||||
|Üretim Miktarı ve Plastik Sera ve 01.13.32.00.01. (Hıyar (Sofralık)) - Ton|2015|24.0||||135.0|600.0|72.0||
||2016|24.0||||135.0|840.0|90.0||
||2017|24.0||12.0||135.0|1000.0|96.0||
||2018|32.0||12.0||135.0|750.0|90.0||
||2019|125.0||12.0||158.0|1250.0|90.0||
||2020|325.0|20.0|12.0||315.0|744.0|137.0||
||2021|325.0|40.0|12.0|||790.0|105.0||
|Üretim Miktarı ve Plastik Sera ve 01.13.34.00.01. (Domates (Sofralık)) - Ton|2015|15.0||||41.0|397.0|95.0||
||2016|15.0||||41.0|600.0|128.0||
||2017|15.0||12.0||41.0|625.0|120.0||
||2018|30.0||12.0||41.0|750.0|128.0||
||2019|250.0||24.0||205.0|2500.0|128.0||
||2020|325.0|30.0|36.0|||994.0|204.0||
||2021|325.0|60.0|24.0|30.0||984.0|180.0||
|Üretim Miktarı ve Plastik Sera ve 01.13.39.00.07. (Pepino) - Ton|2020||8.0|||||||
||2021||8.0|||||||
|||||||||||
